appid,name,playtime_forever,img_icon_url,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,content_descriptorids,playtime_disconnected,has_community_visible_stats,has_leaderboards,playtime_2weeks
1145360,Hades,0,8a3fca36a00883e8066263ad35dd15d77a1f9abc,0,0,0,0,0,,0,True,,
1200580,One Gun Guy,0,112744df8d62d560790e3bc3a64fb0d745bde331,0,0,0,0,0,,0,True,,
1222140,Detroit: Become Human,0,3d9f5bc971d44398aef740c0d8e79a358be2e800,0,0,0,0,0,"[2, 5]",0,True,,
1222670,The Sims™ 4,9,ca6bc8b2411bce4a2cd325ab75f0204bc3a4ad98,9,0,0,0,1768039311,,0,,,
1222700,A Way Out,0,ac36b7d06c117d34c204166c3120e15910ef2b8b,0,0,0,0,0,"[1, 2, 5]",0,True,,
1265920,Life is Strange Remastered,0,3f7aa3eec440654761e24eb37d769ca3f4fb5c5c,0,0,0,0,0,"[1, 2, 5]",0,True,,
1265930,Life is Strange: Before the Storm Remastered,0,787f74af7924c85faa517dd9e50e08791f772438,0,0,0,0,0,"[1, 2, 5]",0,True,,
1328670,Mass Effect™ Legendary Edition,0,443ed7dba43882ef4298f8ed15bf67f323461e14,0,0,0,0,0,"[1, 2, 5]",0,True,,
1515950,Capcom Arcade Stadium,0,2715c826a625a0cac409491c1982a459a71f7349,0,0,0,0,0,,0,True,,
1634080,Nocturnal,0,e1e2321cd4b6c89c46ab3ba0d59bd9523fc89c1c,0,0,0,0,0,,0,True,,
1659040,HITMAN World of Assassination,0,552be1d38866afd1c33f682323d325130e7d0ce6,0,0,0,0,0,"[2, 5]",0,True,,
1659420,UNCHARTED™: Legacy of Thieves Collection,0,b566a403067d6abf75136a3c19f9ed0d2e4fb5b1,0,0,0,0,0,,0,True,,
1693980,Dead Space,0,3368d467f4f60f9f07ec4c206a22184fae060be2,0,0,0,0,0,"[2, 5]",0,True,,
1703340,The Stanley Parable: Ultra Deluxe,0,f95fbb1094549fac0af15f7e905207da0e4d339d,0,0,0,0,0,,0,True,,
1938090,Call of Duty®,111,8eaf32220060344996cbf11f697a4f4be943e5f3,111,0,0,0,1763064341,"[2, 5]",0,True,,
2507950,Delta Force,103,52bc6c4bf0c232cf30d66eb3d1638bf099bc6061,103,0,0,0,1763280462,,0,True,,
2622380,ELDEN RING NIGHTREIGN,20627,c59f3732d379c9667450b174353d69d5bcea95a5,20627,0,0,0,1783096970,"[2, 5]",685,True,,2093.0
2881650,Content Warning,0,513cf7f2e22c94f4372369e29bffccc4c239e9c0,0,0,0,0,0,,0,True,,
3527290,PEAK,0,b3a992fd5991bd2f4c956d58e062b0ce2988d6cd,0,0,0,0,0,,0,True,,
3564740,Where Winds Meet,3483,531ce29af277670c3aedc30d3b0bef92ee1b18c4,3483,0,0,0,1771768701,,39,True,,
